Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas used)","SmartShield (Success, Gas used)","Elysium (Success, Gas used)"
0x129a321d4867b4144ff30865b87955def212d3f46b3973dd2c141978defa4e70,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0x438faa4fa38057b01b2074ae4fc18fb0d84077caa66d2211526b1a3f27ac990d,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0x446a1aed6405460a3252217e269dce4ff375326a739b11603971046ad17f28ab,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0x776da02ce8ce3cc882eb7f8104c31414f9fc756405745690bcf8df21e779e8a4,17953,"(False, 6285, ""b''"")","(False, 11491, ""b''"")","(False, 11476, ""b''"")"
0x9243d45ca81db4f16a0ded3e57982b4bc95ec32ce69d541bf6e019d949cbc6c8,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0xac483f3be64994a7002805c6fc576a1a4dcef6bb90f0d1194b2cc5edc6cc0b0f,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0xb84269a726b56a6f2ad9d35950de53f38751d8edc9ed6be310f684db2c2b3ca5,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0xe9e2b0b8e23c7f73159ce5f78bdf1c13047391e46825fd2879bae66856bc7535,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0xfd2d1ab0bb7ca5df5228aa3ac714ba160f57e6bc153e10b490e92bf50dc9f566,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
0xfd5424106cb20df7906081aefca0dbebd2094e6f7113ce8f62fb870183df4524,40915,"(False, 977, ""b''"")","(False, 983, ""b''"")","(False, 959, ""b''"")"
