Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas Used, Error)","SmartShield (Success, Gas Used, Error)","Elysium (Success, Gas Used, Error)"
0x4033cc6a3f2d7788938909f0400a1b24cbcca5b0541a2e2425382a4ff4b3fdc7,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8721c33c464b81804927db0bc2aa5962c53242bd2e2c0091ef19aec20fe12708,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xef60a40c4fa860c478ff4130fa91bb4d920a9e33c2dd262465205aa96256c027,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe4b8150b9130029e722ecd2478cc1a805bb2f4ed23b9b5bd03c766737c15dfb4,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5dfcf4cee85aec28cf38dc7bf30dbcef8f7d96f4b719694019121d689b7d6d21,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x825188e9d66eecccd5a3f57c253938bdc38aee963827dc413c654d616045bca4,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xb45bd9dd720a1d86f8764df5a22e7af204ae23de5c2c528010f0242df0059381,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe2b4063b83ab463b7b39c129d8633266478d4cabd402fe0613df9acd6a871396,55915,"(True, 56035, None)","(True, 56076, None)","(True, 56005, None)"
0x8f17b8518cd401494a8107d2670fd08a15476d87c394b922b780d1cf81bd3455,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8d38a95de980d0ed577b13ec7390a3d38676134258d314710df1b5bc550bcd5d,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xf5781d1d99f3d2bd1127cf600b06239e935cdbafb1a981f2b8d65dcc56211cc0,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8b653f36a79a8918b44e66e7ffc790a5e28989f733cd1bb516d5a1acc421f373,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x65a177aee1b8bbaf9d84e4d75b8291cb84ea0bd27b055e00e9e37646c65487be,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x5afda4227245ecfb62f1d5b041e4022a9c597c72dbc081a1be77a947b676c557,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x021c8257f56de4f6f2fd5a418152105aaf4ac58489402d56629322f0b84fe281,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x0fd02bfc9690efd632827fe51e039970bbf7b7983d0c7b19d10a0800128c7403,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe65fd8db0f8d4a58130fde4a41181671effdf751a581c3bb3de922ccac153c65,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x31a2be17dc0fd74ed97ab71ee8c483ddd6cc96ebfd24a68acbb834675fba872c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2ca62acfe42e6b7dd4b7b3a1032d6c74faa786e0474fc2fdf140ba9adca89e0f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x44a8ef0f634db923d146c5920eeadd60d3400f300cfd83e326dbf1cd6d33c4f4,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1ab8a79afc26313e9df49aeaf9196e5a229d5b0a43feb8c5e5affa14939cf5d6,17953,"(True, 18026, None)","(True, 17994, None)","(True, 17979, None)"
0x574dac10dcbc699ecfce9b0f3c08259d21adc6a97aa92994db827d7cbf1a8996,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xadc73b55c51f07584497f3473a4f7ccbfbe5bfbd3304aa3aac22e549d2c5ebd9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x6b9dbe5ea753b6e7a00bf1fac2d334fc83042faa3154348854a79447a8a2f0c4,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1f95e9a82de1af4b06f93b59ebf9952534ac21a18fdd874875aad4347e9767c6,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xff40cbe2303eae8be1a149166a1546c0cac92a006ec1593863c916111a2958f8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x735efb909365aad383faad08eb0b85f9014fc898b4678d7ea69c018f24a38b36,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x4a1d7314b56a8e7a17eb2c15fc9351bc4998b8a56bed78cba2e29fe8da346783,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xa06be42bf18c5e361d6f835e8f310cdf8edc31029c68d67e7c1990e1fbbd56c8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2c2a7169f6cd67ed246e07796aa8f65f05cabf5eee31ba41eb0c3c634ccd4713,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x3a3c7af857dd25ffda8f48bb8d2debfabff7c48c403a2955a3aa21c7941e383c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1ee714686a9ff3dcb404a9a5f4286bd198e88866b60b9273a7d833fd407a9bab,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x07edc4fa36298be22050bd663d19c60ab6821cc3991cf848fa800db7510faa48,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbcbd4b2c23d954e963a2befaf5a60736cc7ccd25d1a4b4fbbd3d0d87f6c0ed1e,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x1637b2b2cfc8189799899c577a827769e505db28a2a42dd9884c090939bd2234,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x9e022ea801ad6be66793ca13938b4fad3d51d8b00f009c5328e5a5734df0b823,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x3ec68038a867a350fbff8d2574478506699110fe3b98191584d8970af32fe154,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xaa0b8fbaa7db396775a761911587bf9a2e94fcce7b303f76e6e1ea5d56d8de1d,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x48fa0f3b948f6c3df268ea288772c8e325f95ebcb666e48ce71829ef6a0b36aa,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xa57698eb0c1d0728a1ecf1df79660dac94c15cebaf49d7eada59d6c5efff75c3,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc34d597ddada54c6af5df1fd1d6298b66d775f2d2e87200becfbf983b3b24e71,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbf95fd8cbee7a410ee4b275b4a3176cb69e1595866d6f4e99145864a52feb180,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x6f283fc31678e8cde60da208a8b2ce980357fe607fcd2a183f3d2c70bcfb1bc9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbd14b3aaafc4343d245daace10fde0e8833fce6ef559c00b143aca75bb10e271,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x7f495a4617d3b560b11e64d0c007143ef1168fea424e8f75b91681a88e1f43af,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xb5535e49430756f8ffc4cac976ad8decfa7e8eebd8695064e8640ee2323ac1c7,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x203ce76b50a6a93fef77c727c7f8c968e7ea72193c380af73041ee3e60dfff13,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
