Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas used)","SmartShield (Success, Gas used)","Elysium (Success, Gas used)"
0xde27293542fa8d6a00b306a8f7ac2b4ac0c97f09606543a9d2683d604c68d850,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x6b16cd6645f664afa3d61cc466711b7cb14ebb652e4e0dbca69f13c40a14aa26,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd10eddd40348ab37ae27598ae37e5ccc0d0ed541aab5f11ef274e66c248b1f30,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc080b0c1c0cab359789243fc2c918e1a12b59f8be35e9171308e9656149b7894,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x11a478201c30a2f5dd2910dc3fc8d868ca2599c44cb15b33c984691a2289bd35,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa14ce6a7c6cd48173bd1de9a692f8e0f191d60cd535d8ea039a37fb56629e950,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf07ffd5e5e1b55bffdf36505b6da1bc47899091904058593b0d725c878a7ae2f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7f6e25f79f4dee0fcf4fc673b43a6369ae9d9cdef9b23e1eb7cac0b2df9e6b1c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x9b8fcdd55c52053a5619823d443091cff691db4f640cb4990cffc095f2dd1fb3,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x47cbd6f3403f421fc1a4b9621b7bba25873a346abe9b77635942316697fc5aff,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x6e9787c103a922b527adfc26ff416f5ddbea88b50a31882aabf90c20f252d44a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf1ddf549bb53d9e8a71a05a8c622a929d4e077cf6bbb746d31b6d3d8ca8a1afc,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x9854c317cb808dccf770462cebde4e7d25170f94b6a9b956333d88cc125e636d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7e096ff235e4a33df7c2c474fad0df1bd22fa44194584f03d2c9d1016ec00803,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x8ebe91a11525f5eeeb00e55be008b1781e2779b4378a4ec36dbcde79bdbf3a36,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x870a0f30a535a8839361ffd4304f71bd48f8d9bd4a6bf27233d7b115b8fcbec5,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x9e3316ddd4604709f0dee347fb65cd71251fbaf09a24528e24e392910d24b416,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x59cd360da31818f0dbae01c3c6079e748c8e799daec21ada0cff7ec4157a37f5,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x99cca2420ec490cd107429416160a9d1d0ed7a1f4f0331be3203b876e2adc2a0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xaff9d3827b6a91929e9ad51376ef47a18b13d506cebb5411eac36b252fcf0df4,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x192db5d1358a1e75003eae14df5532c88938a658520c06bb13d1332b88854094,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb1c76559cd9777ac78108dd3bea6829509569ccef68b7f93af2a73c260a5b1a7,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf7c9a5fe95f5c1ba34d2f873fdb7b1849398ad1b9639776b427ef2cea4275034,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1e942d949604d9c70e26f5b7aee04ab3677d59189f7b91f8c1b003021f1ef7fb,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x3d38507a1a74e9905e6456d8e17fe376ca946b18d14e4e5bc8cfa3fc81c61ff7,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x866c6752fdcbc89b2579964e754afa2e551e8ffdfa1ddc340f4159a1c33d39fe,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb63b10d2825255779886775bf6e1949bb94d8af41f24b9afecb206501dedab7a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4163698db112a0358dbffc3b028733bc2f532d2ac0b1b93428e8168bb83fd275,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xe27651e32b07c5bb2c01012ccad2d8273151303bc7030174e0fa5364e167181b,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2d525a432154581f611216c9c07d403dce93b95e1a7b3394867c15bb3833e1cb,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x553db1d8a806219861a21f08786fb1da24fcd4da6d8251b0f86c9390e66841bb,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xca5af7f401cff6eb2e74361d7f828135d195332f55ad0c1de58083bfe300cfab,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xfda86ea010d26b4f87f3903400faa81382ed9e43c867d071bacc259e901e5c50,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x179cecf9609752bc5dec57386c9c886af01421f524e624d515c9db03843f00bd,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xd02b04741eeab4f0061a5aa49533428d4c749442c2c0f60b0f1d52a715a4ad71,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xfd3258bf12e4526a4cd5ccab1ecc5f974f21792ad2dbb50c782ed27b0d4bc5c6,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1dcad4d02534ef677c3e11c3547c2a3bc92eb1d28cf204def7b9433f3412e710,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5b996de60cd2af4b84b2bfa0232bfdee85fa3cf9d28cc56ceb17df5e2ad37374,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xbeac69ac3a9a52309590f018e4ca56324f539ee8fcdaa873a38d1902b63b97a5,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb7887173bd6d3f79a1a29a0c0202c210fe41a0cb5197fcbbe025eba8ac729826,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x83292cc51963f28f78d5ac1c04b44429da98bc14a09893c585a316c75575717c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x28b6be9f4532302bb4055c7a54cddc05041b1a7a1dd55ebbdcd8f4111b7b79ec,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xc914f3b4416d4a4981c5a98ca526403ade9d4f7e7f9f5358b80adda358d17f2c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x99f8ad030d9f833f5675d62ec0efed1dd44fa1299292571c9a7580e927774ca0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa88f18f036b116624913fb25f0d72e5f4bea86c80c6df9ab326eb2de638b4559,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xfd9238999b964ed2ccc79bb69f79616f157538fd3ad0eb393a8a39f392822cd4,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x66ce543c7fc414527db4cd54b61755a405609d70d61f4154e08a8accdb9a93f1,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7512fe7836428633c5713ad23b27535a95644874e565659e6983d491d5b0ea67,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc1864fadfb3600a5c452539dc1bbff768edd0129ff26fb5359af41f9d4da66ea,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5e45d7250b1eeb99ce46d6944b422f63ab9f7ec092bba46e9b8b29f5284dcf1e,6005,"(True, 6005, None)","(True, 6005, None)","(True, 6005, None)"
0x7c64cf93848a12fd984364e9ad1b0d31194edb445cff268de537ee5551e33db6,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5d76a6ed9a1659ead4ea24e46de05b1adee11738365da622b55a1716fc6d6115,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x729ccaca29de908e6e802d3834ab60bc16cd1c4d5ab6054473f48b2eba938fe2,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc8b55d88e6d31ac0f4094753c4bfb54b7f781e0f1eac748a64bd20afc19a08f0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xe74da5ec5eca98020a64d320ce72ef6a2c2d95649709f2cb95528e01589c60c0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x48b9e6c05803e8aabe251d5462ab40ebd6270cd3a3631fa154ce8f7508ee98f8,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x573b96ca3d933c3a8a0e2013478c113050e2a4cf76dcba28255eada2b875d823,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4590cb0fd3be413741627acc37085cdaee1623e703955e0f4227609170c0bcfd,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x736479e69edca6a100c545aa5af70b59a1acaab3ed01dfc816403fe9037b3e45,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xc26da3a21eb8b2fa4a9cfe1964dbaa46b579d7561229034404178c3900791f99,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xbb0a2e3dbc70b056bb8b1940e23ba6f18f42dcd189f3bdee207127b02b1f190c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x409565c2adf840c558ee1537d9a6fbc84083e596bf7df62b19967ea82852909c,269287,"(True, 269334, None)","(True, 269287, None)","(True, 269287, None)"
0x5863fe5c57227136e731eb9646887a81dc2b3e626188e81993523d53bdb3b75e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x8faf31fd34cf9ea11ad3aa2f380531202674320a60ecff14702e215caaf19ff5,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4832ca3371e1454bed8c9891f5dc259d9cfd832c9b53f094c300ac758b6ef52d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x356f5efd6ea89df2da2014cea49945fae527f8b357f811fc9cb5b4d9330d5d62,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x07daeb868a6d38de44258a6d8ff8f74f8fd29e77fe2cc3b3136601784eba3b61,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x9f37f873f1d2afd48d79db4f501aaca025ad23afd6b32b1b312d92baeebf371f,284287,"(True, 284334, None)","(True, 284287, None)","(True, 284287, None)"
0x7f15185808c764d2f4f11b64124cd9bf4c22d41ac717484813d1e30646789879,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x799e0e8b0bbc5d3e7c844acf65fed0844766cd9019aacc4f131161a62b22db97,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xfaa8f614cb9810d73f1823d56a3cbcfd8d453d9a9d8895f90da9f63908c0f0b8,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x89e795887c2fe8e52e6bb53d570aefe03d47caf9aa4b381a3abc2b684e0f586d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x357e8407fe92291f19cb08f80161b4e27803c2d0a350516506cfba57e7083fde,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x00ca19a10ff3eadb2b19fe7be690fc590e80e5d461603cb20e4fd0f5104613ca,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xacdbb100688833d892bdbbf7020cb3ec83e5d0162f804a3e01ba06c04df592e2,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x728801572d68cba8b1b3ccd29f797217284613e53aba5aa1f79440788f3b5c12,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x6e603826598358ee80a814fbfe1df02dd6a98408374d47d8b462d74de1f12803,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb0ce3aa8c171aff07c982ddd5d4ed17ad168b5e4198da734eecbe97b6bf64ffc,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x1914ee4cd0be5c8ff22a1f3e2ebf4654797bd530ad1d37b9bb58ef4c58e833a8,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd31ac8e9b2bc5d6ad39bd018d6742f7b3c2ebae80cb8963e48562016a3393894,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x2b538e19ca6f72fc313c2a46aad48c43a8005a8d2a847e233e46fd92c5b9caa4,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x3f75f4d80b001f5fdc4334a24c657d42265326982a4ac66a71e0873fb3764ad7,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5847f4fc764093969e1c8391aace602e256441fd5f87478e1c8cfdefcc86feff,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2ddb76e7eb0676b880d4e4b1ae9bace13f782f973d3d5cb129d644da7e0563f2,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xe905be34127bdff60067e7f7ced2884d0c2489369455ff57638c777c3070fa06,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xf0c42f3b7991b5380112292e8860453d333482fb5c6b5bc9400da09060e4e930,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x6c8256679162be2969ca52f12c585645624d2819b33719f8f928359c150edd36,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x352e3d1cccf3b725aadbe57b022085f59451a1349e3b5435e03b75628ccfa6b6,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x0880b23f7ae1d90544073731b1bd1ab2bd9f79d6a28ba1b5711d7d9aa740109a,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x982d87fb97a62ee0775a429bce0609b5995ecdb35f147d4db744b34d78ef8098,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x8d450a4fb1dc028db49e2bc5b76b3c18c3522a14b81e74a9e9fc8cfa3229965a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd61d4c13b4de5363807ddc110a111ae9ed99c51233de6d84037858ffe0eeec95,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x3bd74715bb8afe1e4ebaacf61cc202a2fdb39d5e982031a101caa2c27859b44a,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xcc180bc3fb7ccfbd04de4383339a2f4aae2ce6dab829b6f625e60faa7c7a6489,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1f219ac3787a80d18a4e730029c30669385e51e1f6eb43500aa8209d1982c1a8,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5189773cdaa2b75a5850f08b1d4bebbea63d9d5290baffae4b8afe251d7f0846,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
