Contract Address,Transaction Hash,Original Gas Used,"SmartShield (Success, Gas Used, Error Message)","Elysium (Success, Gas Used, Error Message)"
0x090fc358fa1a992c083590c7dd33ad5208a02e9d,0xd97d2aa04e7a92bfadf90a2a5f1a59c426640cfaa6023c06ca79166a83ca5199,368207,"(False, 1041, '')","(False, 1029, '')"
0x9cddb488d39821f06057dfb0f7885964da3d801b,0xdd8e427ecb6926c45d74d05723e9ac377b33f4b96c1d0b195aaf963061bd086c,52073,"(False, 957, '')","(False, 945, '')"
0x0ec4207aa379dfcd9239e987530b95a55178e5eb,0x8f7dbac45a4b8a5374b736ccff1b79f6ef95467029acb86edab5f36d9e44418a,52073,"(False, 957, '')","(False, 945, '')"
0x0ec4207aa379dfcd9239e987530b95a55178e5eb,0xf8054c96884fe7047817eec23a9b5f82af54591148981b24bf20ee6bc057c375,52073,"(False, 957, '')","(False, 945, '')"
0x0ec4207aa379dfcd9239e987530b95a55178e5eb,0xb319cda3f5414169cd4912eb97b04fe5bbf4d0583626fd643eaf8138826f01c0,368207,"(False, 1041, '')","(False, 1029, '')"
0x0ec4207aa379dfcd9239e987530b95a55178e5eb,0x66eabc6773414978bbc18a30d1276396400c7970d7a5deda03b97790da9ab51a,368207,"(False, 1041, '')","(False, 1029, '')"
0xf084d5bc3e35e3d903260267ebd545c49c6013d0,0x1f42f91dc2227db9dc1475dd98f924eea8eb3e8d82fd7dbfd0ab1141234a77d7,34440,"(False, 1492, '')","(False, 1468, '')"
0xf084d5bc3e35e3d903260267ebd545c49c6013d0,0x093198f509facd4339265c1f8e9b226786c1b4cae582aec086922431280ec1ff,49440,"(False, 1492, '')","(False, 1468, '')"
0xf084d5bc3e35e3d903260267ebd545c49c6013d0,0xc393b300c67eee0925890cd38172afbe8eb1adf549bd73526f50f750ea3b5c47,74376,"(False, 175144, 'Invalid opcode 0xfe @ 3467')","(False, 175144, 'Invalid opcode 0xfe @ 3467')"
0xf084d5bc3e35e3d903260267ebd545c49c6013d0,0xd04e04448d6063aed424642337c4e5e7ff9d49744a0c929da80497df23506b4f,74376,"(False, 76876, 'Invalid opcode 0xfe @ 3467')","(False, 76876, 'Invalid opcode 0xfe @ 3467')"
