Contract Address,Transaction Hash,Original Gas Used,"SmartShield (Success, Gas Used, Error Message)","Elysium (Success, Gas Used, Error Message)"
0xbf764eb314daad130dbad1f75aec54990f21c29b,0x35d31e93e3904b48e95e79e9d9eeaa9aa21dd15f5361fc71e4e32506907aaec5,1498,"(True, 1498, None)","(True, 1498, None)"
0xc6c19cea659142f046289e97a5351808541ad904,0x21c11118d49062bedcb6881d2a224b521ff56800feaebbc6a424f9d124af8852,1498,"(True, 1498, None)","(True, 1498, None)"
0x764a1c7bfd2a8dba90f41226c54e9bf88c706258,0x75d91210dabcd81d9334f2f406cf3a7af3448944937ec21a13c68ca4ac78bb85,1498,"(True, 1498, None)","(True, 1498, None)"
0x21d32aa7d6f763a21276189046f45423dc37b14e,0xd806fb9775718b88fb98b01d87cd65b57ffbcba4f81a60cf305661e74dec1d3d,1498,"(True, 1498, None)","(True, 1498, None)"
0xc511c9934e9e314da30dffa170d6eb33947ec4bc,0xf6f4e2af26a5d687c5495694b18fe682680d6e491048947c8e871a1f58d0b655,1498,"(True, 1498, None)","(True, 1498, None)"
0x03a62c4b61e7118025b8c253b2e09cf74ca0f31a,0xa06bff8a9531c889fe0ea22a5b12b1d872dd9f7e10483cbc51664beefd164c6e,1498,"(True, 1498, None)","(True, 1498, None)"
0x5064196a0319e133579b94d3aee453c2c0862a30,0x0114b329fbc3b48b99bc4caaa142d070cfdd0a19431c33cedcccf1271484ac99,1498,"(True, 1498, None)","(True, 1498, None)"
0x68e75dd2d38f0302a07895223bdeb866e49e02fd,0x24a53f8b8347f04553109a4607ef8608ca8b9e5590ea80a967aab07cca95b242,1498,"(True, 1498, None)","(True, 1498, None)"
0x6107d954b4770ea65a4f88015fb6b90655ac8e72,0x577c9c3ff0af6cbfd2213507b47b8a25edb039fa5b37bf5ceb222a52befb97d5,1498,"(True, 1498, None)","(True, 1498, None)"
0xbcb2797f9a74d9099d6077c743feb3bc812eb2a4,0x13ec05729725bb5fd915b37d2ff34c61c56348a6e4f1bb43b73829068c1c9540,1498,"(True, 1498, None)","(True, 1498, None)"
0xf2919796ac2b7d4c884bec05cebe92a4b6f1e701,0x94f5589e0778a4f2e2c0a4b506ae4af767090996e0a122258e73b31b0ee6ce4f,1498,"(True, 1498, None)","(True, 1498, None)"
0x91355a38d8eedad0bfc0a2f18c590e26e7f7df9d,0x88b2adfe0185079145ba0baae0fd2121cf3b102013157e32f93c6ad390cbe3eb,1498,"(True, 1498, None)","(True, 1498, None)"
0xdaf9347ca0ffbc04512fd8257d56b3a125d21a77,0x01ea6ba39e81370f67cf4282a6524266a709ca7ee49d431a7f7192060cacca1f,1498,"(True, 1498, None)","(True, 1498, None)"
0x3fec3c6e014e28566000a1be3cfcb43327d4b743,0xa65f177d28b1a751d8adc65539f150ea9f4c2eed26e99af836851c82f1230c81,1498,"(True, 1498, None)","(True, 1498, None)"
0x54d920b15a6fc49f7c206df8924d5c192da4228e,0xa497a5c785a157fa30b5278b0b2e3eb2b2f01936687166870f4f999af4493ea8,1498,"(True, 1498, None)","(True, 1498, None)"
0x43c0d31adb89df0e6b02bf2bd9acb0696fe41e46,0x780bda7e6800d4df5a8f3a95d7b4c6562076c73a25324659027a8c9ad1220669,1498,"(True, 1498, None)","(True, 1498, None)"
0xb68dd3322631244b553fea98040399a4258cf04d,0xb2ca2e69e2deaa20ceaec72d6608b21d26c21257fd8c8a592c88d49e87331dc8,1498,"(True, 1498, None)","(True, 1498, None)"
0xc8987f22eadef2b68c59938d9a6dfb1fc0c4e0b6,0x659e2746264ba0f6e7d74c61036564b80919f3f0a6e85d1fae50bb2905acae31,1498,"(True, 1498, None)","(True, 1498, None)"
0xcb5243f251c3757b0d403e9855457c872d148b4a,0xd486474ecbfc47d51f8b6d0bb05cd0e18ab452fd8080e9b60ac713c273ccb05b,1498,"(True, 1498, None)","(True, 1498, None)"
0x7bf67bdbf58a3c7a6eab82788273960702fb4dc9,0xf2f3c05d6eaf8b045ea7e2d55169968a692bb5a818811dd280f41d3dbfc962e3,1498,"(True, 1498, None)","(True, 1498, None)"
0x50073fbd5814cad94e60e85407dca3695d8d0439,0xe4054a54b5e1d36c5ffac4b05f8d9e8794e6ddc6a870df937a4826826ba69527,1498,"(True, 1498, None)","(True, 1498, None)"
0x8f4b3c36196a4c94c69debded3060424e339c2ea,0x924bfa3ba85fe4d2dfc19cea1c8ff0d3b34386296b4d31776ac3039646d7e12a,1498,"(True, 1498, None)","(True, 1498, None)"
0x1f4fe4426bb6936b1007bb0a30f2f46e7c1b64dd,0xa55d1a365a664fcf5268558c4ff377877011d99f2dd5ddd9ea659c350c6de66a,1498,"(True, 1498, None)","(True, 1498, None)"
